Job Type,Job Title,Location,Job Link,Scraped Date (DD-MM-YYYY),Employment Type,Experience Level
OTHER,Cosmetics Sales Associate,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/Estanom Group SARL/5aaacd81-74a3-4106-87da-0ec9006db99d.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
OTHER,Outdoor Sales Person,"Mkalles, Lebanon",https://jobs.jobsforhumanity.com/Asmar Wood/ab383818-10c7-4773-9f19-e9b4ff978c48.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
OTHER,Project Manager,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/AACO/4b6becd0-ee91-48e1-9550-451e8a2c66af.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
CONSULTING,"Consultant, Value & Access","Beirut, Lebanon",https://jobs.jobsforhumanity.com/CCHO/bd8fc684-edad-4f55-b2ba-da41cbc1b749.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
INFORMATION TECHNOLOGY,GIS Data Analyst,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/Trigyn Technologies/654e0e02-2b81-451c-99af-bf0ad383aba6.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Not Applicable
OTHER,ICT End User HW/SW Support – Junior...,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/Trigyn Technologies/9d58aabd-f428-454b-a2d2-50fcf8b742d9.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
ENGINEERING,Architect,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/confidential/950ba2a6-4ccd-4890-bc02-77a77805895c.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Entry Level
BUSINESS DEVELOPMENT,Business Development Manager / Sales Manager,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/Undisclosed/beb04eff-dbd7-4a86-8549-8f39649d675b.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
EDUCATION,Freelance English-French Translator & Client Support (Remot,Remote,https://jobs.jobsforhumanity.com/Green Light Canada Immigration/e5754070-d049-4b9e-9cb3-b58f06969c93.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Contract,Mid-Senior Level
SALES,Account Executive,"Jdeideh, Lebanon",https://jobs.jobsforhumanity.com/Cargo Transporters/364303be-c6c0-41cc-ade8-9b00284eb2dc.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
